0,1
neg,hopeless for tmr :(
neg,Everything in the kids section of IKEA is so cute. Shame I'm nearly 19 in 2 months :(
neg,@Hegelbon That heart sliding into the waste basket. :(
neg,"“@ketchBurning: I hate Japanese call him ""bani"" :( :(”

Me too"
neg,"Dang starting next week I have ""work"" :("
neg,"oh god, my babies' faces :( https://t.co/9fcwGvaki0"
neg,@RileyMcDonough make me smile :((
neg,@f0ggstar @stuartthull work neighbour on motors. Asked why and he said hates the updates on search :( http://t.co/XvmTUikWln
neg,"why?:(""@tahuodyy: sialan:( https://t.co/Hv1i0xcrL2"""
neg,Athabasca glacier was there in #1948 :-( #athabasca #glacier #jasper #jaspernationalpark #alberta #explorealberta #… http://t.co/dZZdqmf7Cz
neg,I have a really good m&amp;g idea but I'm never going to meet them :(((
neg,@Rampageinthebox mare ivan :(
neg,"@SophiaMascardo happy trip, keep safe. see you soon :* :("
neg,I'm so tired hahahah :(
neg,@GrumpyCockney With knee replacements they get you up &amp; about the same day. :-(   Ouch.
neg,"relate to the ""sweet n' sour"" kind of ""bi-polar"" people in your life... cuz my life... is FULL of them... :("
neg,@aysegul_k pleasse :(
neg,@SexyKalamo im not sure tho :(
neg,"I feel stupid
I just can't seem to grasp the basics of digital painting and nothing I've been researching is helping any :("
neg,Good Lord. :( https://t.co/nC9LkYUUvO
neg,"I feel lonely someone talk to me guys and girls :(

@TheOnlyRazzYT @imarieuda @EiroZPegasus @AMYSQUEE @UdotV"
neg,"No Assignment, but we have Project. :( really? 😩"
neg,just want to play video games/watch movies with someone :(
neg,choreographing is hard : (
neg,@xo_raaaaayyy_xo what the email link? Still says that it's no longer available :( http://t.co/iuiaIOynnx
neg,cries bc i miss mingming so much :-(
neg,Sorry :( https://t.co/Q5TAYjrQ8K
neg,@Giannivnni mom so far away :(
neg,We're truly sorry @chrisbrown :( have a safe flight.
neg,and my friends :(
neg,@bbygjrlmgc oh :( i hate when that happens i get so sad over it too
neg,Oh. Dog has pee’d in my @Kneewax bag.  :-(   So I can’t take it to #NewWine15
neg,@YM_Dish98 doushite :( ?
neg,@Charliescoco @reeceftcharliie @SimonCowell too late :(
neg,It sucks so much been sick i was plan to start work on my first gundam to night but nope. :(
neg,MY $$$$2 DOLLAR :( 😭😭😭😭😭😭 http://t.co/oI0pYGUsDi
neg,"@martylog Listening back to old @DaveGorman shows (I know, I'm weird). Just got to u leaving: might give up. It was pale imitation after :-("
neg,i went in the sea and now have a massive fucking rash all over my body and it's the most painful thing ever i want to go home :((
neg,@dethronedlwt hi. Why are you absent? :(
neg,My Gran tho !!! She knew but didn't care to tell me :((
neg,@rowysoIjp SAME IT'S SO CUTE I LOVE IT SO MUCH I WISH THERE WOULD BE A SEQUEL :(
neg,@imallyssagail busy sa school :( next time love yah! xx
neg,Ouucchhh one of my wisdom teeth are coming through :(
neg,@StevenLDN frightening case. It really gets to you :(
neg,"pret :(( wkwkw""@WLK_Jhope: Verfied @WLK_Hyemi91 be active, don't forget to follow all member. Thanks for join. Goodbye"""
neg,You´ve got me in chains for your love :´( — a sentir-se incompleta
neg,it's okay.. but.. :((
neg,@njhftbiebs why didn't you go on Wednesday :(
neg,@radicalj  Marvellous - not. How very thwarting :-(
neg,@ceeels95 Awh what's the chances 😩 when u off to Zante? We need to do something :-( x
neg,@s0ulfl0wr When's your birthday ? :(
neg,@brittleyouth @Tom_J_Allen @AndrewFairbairn @batemanesque @Hegelbon @jameswheeler that was the worst part and I still feel bad about it :(
neg,audraesar: All these sushi pics on my tl are driving me craaaazzyy :(
neg,Really want this :( http://t.co/36tSy81iMi
neg,Popped like a helium balloon..  :-(
neg,#ClimateChange #CC California's powerful and influential air pollution watchdog.: Califor... http://t.co/OVU4p2qWfH #UniteBlue #Tcot :-(
neg,@itsNotMirna I was so sad because Elhaida was robbed by the juries :( she came 10th in the televoting
neg,#ClimateChange #CC Idaho will not restrict fishing despite regional drought-linked die-of... http://t.co/jJboDo6LYZ #UniteBlue #Tcot :-(
neg,"#ClimateChange #CC Abrupt climate change may have doomed mammoths and other megafauna, sc... http://t.co/taVMCz37E7 #UniteBlue #Tcot :-("
neg,#ClimateChange #CC Australia's 'dirtiest' power station considers 'clean energy' biomass ... http://t.co/YeQABq6tsL #UniteBlue #Tcot :-(
neg,#ClimateChange #CC It ain't easy being green if you're a golf course in California.: Ulti... http://t.co/La82RXzTs2 #UniteBlue #Tcot :-(
neg,@Mess0019 Well I am sure your work day is over before mine :(
neg,@keikopotato IM GONNA MISS U SEXY PREXY :(((((((((
neg,i miss my kindergarten kids :(
neg,HUNGRY :-(
neg,cant find the only book that keeps me sane :((
neg,Literally there are three lounge events why :-( So much turn up I'm sad
neg,@carliot23 Miss you Boss :(
neg,I love hozier :-(
neg,"@IzzyTailford that's true, I just want it soooooooner :("
neg,Ahh Fam @MeekMill :( #RespectLost http://t.co/NT25MYnGYd
neg,@shokako1104 I'm sorry :( ! What is hypercholesteloremia ? Are you ok ?
neg,Baby still looks tired :(
neg,Can someone gift me calibraska :(
neg,@Rico_Shabbir the massive shame about it is we would actually be genuine contenders but it won't happen :(
neg,My head always hurts if I stay up late lmao :(
neg,@ErnestLozoya how are u older than me :(
neg,Backed out :(
neg,u sound upset :( https://t.co/JZBFBKld8Q
neg,So much misses :-( https://t.co/pn2HvGdnFT
neg,I MISS INFINITE :-(
neg,@DiscoQing AoS doesn't do it for me but I don't want to stick with 8th either. :(
neg,@madrigalandreaa its too much  serious yun eh :(
neg,My room is way too hot :-(
neg,I still havent found my Handsome Jack drawing :((((
neg,@twcxmina shit :(
neg,But cut encore :(((( #bad4thwin
neg,I wish I had my own Baymax :(
neg,Sick :(
neg,@LittleMix French mixers miss you so much :( 💜
neg,Wft.. can't watch the awesome replay!! :-( https://t.co/ChzrqtelPh
neg,@Viiiiiiiiev what happened?? :(((
neg,Party promotions are over :(
neg,Music bank encore always so short :(
neg,BABY BOY :((((
neg,@flipkartsupport my order has been received at the hub nearest but doesn't look like it will be delivered today :( (1/2)
neg,Why is my mum playing music out loud :(
neg,The finale of Parasyte fucked my feelings alllllll the way up :(
neg,i wish :( #ZaynIsComingBackOnJuly26
neg,Good bye Party era :(
neg,@amedefu Me  too。。。_:(´ω`」 ∠):_
neg,@Concept_Nathan nathann💕 I never got a chance to take a pic with you :( got a hug tho! Pic next time I see you?😊
neg,"some girl came up to me and was like ""you are so beautiful :-("" I want to dieididieieiei she's so cute"
neg,Party goodbye stage :( but this means Hello to Lion Heart and You Think
neg,@MsDanneh @Obey_Ervin15 Tell her to screw herself. I'm gonna have a netflix and chill on my own. Y u do dis ervin :(
neg,@subharrie ohh no :(( and yeah i hope she comes back soon too
neg,@MadniTahir I am. I've accepted the offer..but im desperate to take the year out.   :(
neg,Come back :(
neg,Snapchat me - AmargoLonnard #snapchat #snapchat #kikhorny #snapme #tagsforlikes #batalladelosgallos #webcamsex :( http://t.co/3S9LHaFrsU
neg,UGH I CANT STREAM TMR I HAVE DUTY :(
neg,@madrigalandreaa u've gone too far :(
neg,@uhhAileeny What about her alien thing :(((
neg,@Ni_All_Is_Bae aww I don't really wanna get my hopes up but I wish that he would :((
neg,@malikm0ney sorka no :((
neg,@fxnno_ i knew u would be sad :( were having a funeral i was gonna text u but i have no phone
neg,Sunny :( i feel so bad.... http://t.co/17tca0uhKp
neg,So nonexistent wowza :(
neg,@izgzb @aishahyussofff back off fah she's mine :-(
neg,@DIMPLEDJAI taylor why did you crop yourself out :(((((((((((((((
neg,@nickjdrake Boo on both counts :-(
neg,new guitar :(
neg,@PinkCloud_RP so when will i get my jonghyun hyung? :( please predict it :(
neg,I hope SJ will be nominated soon but no SJ vs INFINITE pls :(((((
neg,"Yeah dudes, keep calm and brace yourselves :-( https://t.co/ZnOjT3v9Gq"
neg,@Mr_FRML sir plus 4 please :((
neg,THEY LOOKED SO SHOCK OMGGGG :((( YALL DESERVE IT :((((
neg,Whenever I would spend the night we would smoke and watch a movie but he would always end up falling asleep on me :(
neg,We were 1 point close to grand finals! :( whyyy
neg,@muhammadskates :( that's a long time
neg,"@evanquick Oh, that must be so annoying Evan :( Do the texts give the option to opt out?"
neg,Who's doing giveaways for muster goods? :( or any merchs
neg,@wendyykid ah too bad :(
neg,People are looking at me funny because I'm drinking savanna with a straw :(
neg,Good bye stage :((((
neg,@ameliahartin AND WHY DID YOU IGNORE ME YESTER AFTERNOON :(
neg,I can't sleep :( someone talk to me
neg,yeah :(
neg,@_Birexus yes sadly :(.
neg,@ClaireClaire05 Very :(
neg,@The_Strypes whens the album coming? :(
neg,The last of my chocolate has been consumed. :(
neg,ugh i have werk in the morning too :-(
neg,@Deedee_50Fly foreals :( a wesen uwesiti mj 😂😩
neg,@crazynovely I will if I catch him online long enough - haha!  He's being very annoying!!  :(
neg,Bosen :(
neg,Dying for some egg benny :(
neg,@Michael5SOS Sometimes I hate you :((
neg,@Mark23Baracael baby followback huhu :(
neg,@fkluca but no ones as cute as u so :(
neg,@Tinkkza You're gonna watch this shit and understand how badly you scared me! &gt;:( https://t.co/YcGudITQgx
neg,"I miss Al, Katie, Zaz and Amy a lot :(("
neg,I liked a @YouTube video http://t.co/2JcBiswDW9 More subs plz :(
neg,@LittleMix @SonyMusicNL Can u make a diary while you're all there please :((
neg,@neikmat Sorry :(
neg,@twyodor @gkjohn :-( I don't read most of these rehash websites that have mushroomed. A good piece may be by exception &amp; reaches one anyway.
neg,@daddyksoo and yes its been a while vicky omg :-(((((
neg,"@megsyfoxie WTF LIKE YOUR LIPS STILL A VIRGIN OMG MOM GET A LIFE YOURE 45 

Hahah : ("
neg,@pastelwolfxx @CHA_NNNNN niNASTY tsktsk oppa wont like u call his dick kawaii he is manly &gt;:( http://t.co/83cUgt7qQ3
neg,So Lonely :( http://t.co/VM4N0n8Bkw
neg,can't go back to sleep :((
neg,i wanna go on xbox for netflix but am already too comfy in bed :(
neg,@baileymac02 miss youu :(
neg,sigh i feel bad for our girls :(
neg,@oH_So_EhmTee lol! I love sweet potato fries :(
neg,@_Birexus guess y'all ugly asf HUH :(
neg,@Dsitando eish ive been quit i know...i lost my twitter mojo shame...n i dont know how to get it back :( mara im sure you can help me neh
neg,aww i've got a fever :( but #bad4thwin &lt;3
neg,Poor bb :(
neg,@UrsulaWJ @OwenWinterMYP I'm not able to go! :( It's the Association of Green Councillors conference this weekend...
neg,My skype account is out of order. I think it's been hacked. So if you were in my contacts I'm sorry :( I'm creating a new one soon.
neg,@selenagomez i miss your tweet spree oh :(
neg,"Yes na! As sholong reject my proposal :( ""@elzzika: Gee U don fly go gidi? ""@Gatlinho: The way i'm being pampered in this lagos ehn...."""""
neg,@isxbe i guess im arresting my girlfriend :((
neg,@prophdog_ @attepate hes such a nice person idk why anybody would say that to him :(
neg,You know when a song just disappears from your phone and iTunes? I've lost Dazed and Confused :(
neg,FEVER. :-(
neg,"""Do you think they survived???""
""Well, they did find all the missing bodies in fragments, so no. But it would've been nice if they did."" :("
neg,@DareToAttar im being forced to go :-(
neg,Horrible weather to be going to work in :(
neg,@okayshesaid wish that both of us could change this :(
neg,walao kbs never show encore :(
neg,Sending. Finally!!!!!!!!!!!!!! :(
neg,Being ill is the worst :(((
neg,its not the same. :(((((
neg,"Hope #DJDerek is found safe &amp; well had many fun times at his gigs, absolute legend :("
neg,@qtbatooty_ yeah and it's like why do you need to wait till saturday to give us homework pa :((((((( WHAT IF U MADE PLANS 4 DA WEEKEND????
neg,Greek Tragedy is such a cute song :((((
neg,@bammyxoxo @stffnkthx @breeyanuh16 same :(
neg,"Raining on me today :( 

Gym it is then 💪🏻🐒"
neg,@cutelilawley whats wrong? :(
neg,Oh god!!! I'm strucked by the pain... Cant take it anymore!!! :(
neg,@LittleMix come to Belgium :(
neg,"Fabian Delph has fallen :(
@BLUEARMY_IND @MCFC"
neg,@rosicky1987 WHERE U BEEN HIDING BABY :((
neg,I'm draking silently so they can't hear it :(
neg,Rest in peace mo :(
neg,@MHSScho not much chance of game tonight :( #t20blast
neg,@OL_EYY ahhh u see? U wouldn't wake up :(
neg,Mumma! Im on 7% :( @LMCDark_Angel
neg,@sarahhardman8 I hope so :(
neg,I'm gonna be dead tomorrow :(:
neg,@_Dedox :( I'll do high you do low
neg,@hanbined sad pray for me :(((
neg,@BritishSignBSL how very appropriate! :(
neg,@RedsOrDead poor him. . . :(
neg,I'm still awake :(
neg,woke upp now i cant sleep :(
neg,No one is up to help me :(
neg,@curlsharryxoxo i don't know :(( just be happy for him :(
neg,"@blvsamx hi, can you do me some dms with luke please ?:("
neg,@KanchuDarling @VidyutJammwal hey babe i just came across this pic..what is this about? I cant read hindi :(
neg,their reactions :(((((
neg,@junghoseoks 5s :( i think it's bc im running out of space tbh
neg,@rustyrockets I wish I could come and see you but on Disability pension with PTSD makes it impossible both physically and financially :(
neg,Why does it have to rain :(
neg,@Foooer_Hungary @FoooerSG nooo why they broke up!!! They were soo amazing togheter!! :(
neg,@MystikGunn suck for me which mean I have to watch you play it around 1 p.m. my time :(
neg,Don't be like that :(  https://t.co/gaWf0bsr6A
neg,@derekklahn You cant hold another week? September 21st. :-((
neg,why they cut the encore i wanna see snsd infinite interaction :(
neg,i miss watching anna akana videos :(
neg,@tokyato askip t'existes pas :(
neg,"@9_Moore Sadly not :( - the channel owner decides which regions it broadcasts to. Thanks, Kei. Please rate our se... https://t.co/EzfeHMTT5S"
neg,i dont think @camerondallas  or @JackAndJackReal  will ever notice me :( I STILL EXIST
neg,The traffic is terrible :(
neg,@joaannelopez I've been eyeing on a small kate spade bag too! Pero walang maganda :(
neg,"@mermaid_bl00d haha aw, I miss you too! Haven't seen you for agessss :((("
neg,@energybiebers Sigh... :(
neg,Add me on Snapchat - CorineHurleigh #snapchat #snapchatme #instagram #addmeonsnapchat #sfs #quote #kiksexting :( http://t.co/8bk7ptaqaR
neg,I have no bum in Zara trousers :(
neg,All these sushi pics on my tl are driving me craaaazzyy :(
neg,My after effects not spanish :(
neg,Aww the poor thing :( Hope it'okay and in good health. luckely it has been freed from those Rocks #orcalove https://t.co/tOSZMOafv6
neg,@Techverse_in first i tried this http://t.co/XTSzpi9fQW but no result :(
neg,I want my braces back! :(
neg,I need a big cuddle from Lew and kisses on my face :(((( I don't want to go through this again
neg,@xcrazy90skidx @kowtsnatinito @_patnicolexx ems haha :(
neg,Craving for Banana Crumble McFlurry and Fries :(
neg,We're not going on the cable cars now because my brother got scared and doesn't want to :(((
neg,i miss hello venus's old concepts tbh i rly like do you want some tea :(
neg,tagal :(
neg,We've lost in album and broadcast points :( http://t.co/QDSVS5Q9SR
neg,"i have this awful appointment tomorrow and i'd like to feel OK going in to it, since I won't be after it &gt;:("
neg,This sucks I want to go home :(
neg,There's no milk left for my cereal :(
neg,@shahrukh9899 @IamMansoorKhan Huh :( yes
neg,we lost at the album and broadcast :((((
neg,So sad :( http://t.co/fVV9Y3WX2o via @EvokeToday
neg,Everything and all :(
neg,@RealLiamPaynePH follow me :((
neg,"@sainsburys yeah, I tried to film the date at the start. At the time of filming it had 4 days left.  :("
neg,"@namwngr no, because you will get more than one and i think its not the same from the previous one :("
neg,I can't smile :(
neg,I'm following 73 users who aren't following me back.  :(
neg,when will got7 : (
neg,@craigyboi seems to be everywhere today :(
neg,@OliviaKaparang @BTS_twt for the fansign and take photo is more expensive :(
neg,Zzzzzz.....please don't let the sun come up yet.... :(
neg,"When your bff's extremely stressed and you can't do anything but pray... 

:("
neg,ahh no win for the goodbye stage :(
neg,"@st3cav @MCFC @sterling31 @YayaToure True, deosn't help that Liverpool were here last week, most have never been to Pool though :("
neg,@ArunbuddyAP yes bro..lost many too :(
neg,@JindalDaily praying for you all. So sorry this happened : (
neg,"@jackshilling Great news, thanks for letting us know :( We hope you have a good weekend!"
neg,@peachyIauren it's so fucked :(
neg,@LocoTaii - My self esteem was on the lowest :(
neg,"@RyanBitchTits they feel and look better where people can't see tbh
They look so tacky :(("
neg,@fabssulli taken say :(
neg,@ASVPxGABE man all I got is lucky charms :((((
neg,"#Haaretz #Israel :-( Syria continues to develop chemical weapons, officials tell WSJ: WSJ rep... http://t.co/3c5PRCHKqw #UniteBlue #Tcot"
neg,i want all these bts merchs :(((
neg,Only one more day :(
neg,Should have taken a pic before mrs wong confiscated my art work :(
neg,#Bad4thWin you guys omg :((((((
neg,@mustntgrumble I hadn't thought of an icepack. Big doses of pain killers on board. But it is feeling very very painful already :( *whimpers*
neg,it's okay :(
neg,@ABeezyGMT says the Man U fan :(
neg,@BIBBYUPDATES :(( I wish I could be there to say a final goodbye to them
neg,@_awkwardraven Will do Senpai &gt;:( -looks up on all of buttsex-
neg,.@sabal_abla @tanha_messiah But I was joking on the headline. So aren't we friends? :( Pls dn't brk my heart. :'(
neg,"When someone hits a head voice and I'm like ""I would sound amazing if I could do that too."" But no... I can only do falsettos :("
neg,@Patrickcf26 NOTICE ME :(((
neg,@versacelopez I hate our time zone :(
